Media Title,Sarah reviewed,Ania to review?,Ania reviewed,Excerpt Copy,About,Insights,Roadblocks,Resources,Codes Applied Combined
AGSAA.txt,,,,"It requires multiple insurance appeals. But .... in Philadelphia, I think they told us about half of people are seeing like, many, many months of denials. So it's very difficult. However, the NHS in the UK, did a literature review and a thing, and so they actually have official guidance that people with interferonopathy over two years of age should get Baricitinib. And funny enough, even they have difficulty getting it even though their health system says that they can have it. Outside, some other countries in Europe have had some success, typically requires a very knowledgeable and proactive doctor. So we have some resources on our website, where we lay it all out for people, the benefits, th",,,,,GENERAL: Insurance coverage
AGSAA.txt,,,,"hat Lilly, what, there was going to be a hard stop where they were providing the drug, and they wanted to make sure that no children, you know, currently, or adults, I guess, currently enrolled in the trial would be without medication supply. So. So that's been hugely problematic. So we would love to talk to you about that. But maybe later in the timeline, if that helps.",,,,,"Issue: Drug supply/manufacturing,Org Support: Facilitating pharma providing drug for clinical trials"
AGSAA.txt,,,," And when you were, did you hear about other organizations repurposing, kind of when you started to get involved, and kind of maybe modeled your approach of how you were gonna support, or maybe how, you mentioned fundraising, like maybe you modeled some of those approaches on other organizations or no? You kind of shook your head.

Speaker 2  10:08  
No. So we, so I had read about drug repurposing, like not necessarily related to our disease or our category of diseases. But so, I understood the concept like similarly to like how Patrick described it, but because this, it was kind of like, oh, nothing, you know, when you read about AGS, a lot of the information is outdated, and it's like, okay, your child has this hideous disease, and there's no cure, there's nothing like it, this is the progression, this is what's going to happen. So that's what's kind of announced to every family, by a genetic counselor by their pediatrician or like, whoever. And then as parents you're like, Oh, my God, like, you know, like, just, it's just an extremely crazy, surreal experience. And then, and then basically, they're scrambling to find like, you know, who knows anything about this disease. And so the doctors that know anything about this disease, we're working on putting together a drug trial, a compassionate use clinical trial that was based off of Raphaela Goldbach-Mansky's work at the NIH on the interferonopathy treatment trial. And that was repurposing a drug that was used for rheumatoid arthritis. So that was kind of like how this came to be. And then in terms of like, so we didn't have to fundraise for that specific opportunity, necessarily, because there was like a donation that was anonymously given or inspired by AGSAA, and they were, you know, and then it kind of went to the doctor directly. And then this was the project that she was working on. So then it was added to that, basically, like those efforts. So the money was kind of funneled into that. And then Lilly was providing the drug, was providing the drugs. So that covered a lot of the costs. And then they were providing some of the costs associated with the compassionate use trial. But then everything else, it was like families had to provide their own funding to go to CHOP to,  Children's Hospital of Philadelphia, CHOP, to be able to, you know, you, there was just so, so it's kind of like we were led along this journey. And then with the understanding that with an efficacious trial that had longitudinal data, like safety information, and all that it was proven that it would work that it would then be, it would go into like the FDA process and be approved.",,,,,GENERAL: Interest in DR
AGSAA.txt,,,,"we don't have good dynamic biomarkers. So that's kind of a basic science problem that we have for the disease. And then, you know, in neurodevelopmental disorders, it seems like people really want to measure things related to disability, right? Are you able to improve a person's neurological development. So for this, this Baricitinib trial that, you know, is sort of our initial experience, in Philadelphia, they spent a lot of time coming up with a custom scale, because children with AGS, typically zero out on, on the standard things like gross motor function measure, you know, manual mobility, like occupational therapy type scores. So it's really difficult to measure them in those ways. So come, you know, so we have this dual problem from a, from like, a laboratory perspective, it's very difficult to show that things are working. And then also from a, you know, outcome perspective, it's very difficult. I see the, oh, and then safety too is really difficult, because we're talking about, most likely, we'll be talking about repurposing autoimmune drugs. You know, our kids already suffer cytopenias pretty regularly without treatment, that the introduction of immunosuppression complicates that a lot. So, the FDA originally rejected the Baricitinib application on safety concerns. And so it just so happens that this is a little bit of a tangent, but I saw yesterday that, Devon, I don't know if you saw Laura Adang published, it was kind of a study trying to demonstrate the incidence of cytopenia, various cytopenias in AGS, before and after treatment, and I think that is their, I haven't talked to her about this, but I think that is their, like intentional effort to try and like answer the safety concerns. So you know, on these multiple dimensions, it's difficult to measure, you know, our kids are very disabled, they already suffer some pretty extreme events related to the disease anyway. So, you know, we have this very complicated mix. There's multiple organ systems involved. So that's why I say I know it will fail. And I think you haven't asked me how I think we solve that problem. But I think we solve it by, Devon alluded to the, the academic literature is out of date, with respect to a lot of things about AGS. Especially when it comes to like the heterogeneous presentation and different phenotypes that's not really well characterized. So we're trying to tackle that with our patient registry. Safety information, we can kind of come at that from a different angle, also from the patient registry, like kind of demonstrating like, kind of like natural history. From a parent perspective, we have a clinical natural history, now we have a parent perspective, natural history, and when we put it all together, we should be able to demonstrate that a lot of these events that the FDA might be concerned about are happening regardless of treatment, and to help tease it away from trial. And I'm sure I have other things that I'm not thinking of right now. But I know we have many steps before we're going to be able to repurpose and be successful. ",,,,,Issue: clinical trial design (endpoints)
AGSAA.txt,,,,"o you know, like drug identification. So no, originally, we were not involved. Our organization didn't even really exist at that point. So now, we are actually going to end now. ",,,,,CHANGE
AGSAA.txt,,,,"That also reminds me, uh, facilitated researcher collaborations. So we have, we held a family symposium, it was a family symposium, but you know, it was, we had a lot of updates and stuff from scientists and clinicians, LEA (?) is holding a scientific conference that we're going to, we're gonna go to and participate. And I started the process of registering all of the things we need to register to apply for an NIH R13 grant for a scientific conference. And I think we'll try and hold one early next year. And it'll be a mixture of, you know, bench scientists, clinicians, trying to get people in the room, so we can start talking about....

Speaker 2  47:47  
Yeah, and we also are like, hoping to build a proper scientific advisory board, like you know, with, so that we can have experts in, you know, kind of not only in AGS, but in peripheral disease, you know, mechanisms like who might understand certain components of the disease that we might want to explore and just really, like expand our, you know, reach, so that we get AGS on the radar of other clinicians and scientists that, that might be looking at things that, that they could benefit from understanding our disease, because, because AGS kind of speeds up, like neuro degeneration or different like, you know, processes in the body and it's, so it's a good model to look at for other neurodevelopmental and neuro, neurogenetic and neurodegenerative diseases. And, and then also, like, you know, autoinflammatory and autoimmune diseases. And, and then, I don't know, if you mentioned we applied to the two CZI grants as well. So, so we're really trying to, you know, get out there and collaborate as much as possible.",,,,,"Org Support: Research conferences,Org Support: facilitating international collaboration/data sharing"
AGSAA.txt,,,,"But now we're at this juncture where it's really frustrating because we cannot, we want to be able to like really effectively support those efforts. But not being doctors, you know, and not being able to speak to the FDA directly about this specific drug or not being able to you know, it's like a, kind of our hands are tied a little bit so we're hoping participating in this project will help us to like understand, like, what a typical roadmap to develop, you know, developing a drug repurposing opportunity would be so that we can retroactively apply it to the drug we already have that's being repurposed on our behalf and, and then also like, how to look at these opportunities in the future for other drug repurposing. And I'm sorry, for I don't know what's going on, they're like cutting down trees across from me. So I hope the background noise is dimmed a little bit. But if it's too loud, I can move.",,,,,Issue: lack of medical expertise (as RDNP leaders)
AGSAA.txt,,,,"you said that it, is it already being used off label widely? Are you tracking that data somehow?

Speaker 1  40:06  
It is being used widely off label. In fact, a lot of kids. So in the United States most kids are seeing in Philadelphia, and they, it seems, it seems that they sometimes kind of pick and choose a little bit. They try, they're trying to roll people off of, you know, the, the non recruiting trial to commercial supply and work with their insurance companies so that, I think they can make room for new people. And it's tricky. I've been off label commercially with my daughter since 2019. In fact, I think we were the first to get it off label because the trial was inactive, since then, there's, there were a handful more recently, In the last year, there's dozens now.",,,,,Org Support: off label use tracking
AGSAA.txt,,,,"So Eli Lilly in the US won't provide any copay assistance to any kids with AGS. And even kids that managed to get insurance approval for this drug, because it's a specialty medication, a lot of times, you know, the copay, essentially, you know, maxes out your maximum copay. So there's families that have gotten approval, but then up front, the first month, they have to pay $4,000. Right, they don't have the money for it. It's beyond us, I think, as an organization to provide financial assistance to these families. So, you know, and it is ironic that that situation exists in the US, but then we know that a family in Canada gets it fully paid by Eli Lilly, and we know from one of our members that traveled east, he went to Bangladesh, that they sell it for $9 a bottle in Bangladesh, it's I think it's like $4,000 a bottle in the US or something like that. So

Speaker 2  58:35  
Yeah, some families it's like $16,000 a month, like if they paid, you know, if they paid, like, that's gross, and it's, you know, but for rheumatoid arthritis, you can, you know, get it for, for nothing. And it is really frustrating. And then that was one of the main things that Lilly kept saying over and over again, and I'm like, I worked in business for 10 years. I'm not like an idiot, like, I can't not talk to like industry people, and you know, they just kept being like, we can't talk to you like so sorry, we can't talk to you because we can only talk to people who, like we can only talk about this drug with organizations for rheumatoid arthritis. Like that's what they kept saying over and over and over again. Like anybody that I talked to, I even tried to go back like through people that I knew that were lobbyists like in DC and I tried to go through like all of these different people to get to just, like, because I thought well, if I just get to the right person, if I'm like not working with like cogs, if I get to like an actual person, it's going to work and you know, they just don't care. So",,,,,"Issues: pharmaceutical company support/cooperation,Issue: Drug cost,GENERAL: Insurance coverage"
AGSAA.txt,,,,"So where we are now with wide off label use, we did not mention that we have ACR and EULAR recommendations, that suggests the use of this as well. So that's good. It's better. I'm at like a three or four. And that's because I have been thinking a great deal. We've made a strong effort to internationalize. And so for better or worse, FDA approval is really like the gold standard, both for private insurance companies here, but then for everybody else's guidance around the world, right. So all of the information that we can put together, you know, to like, aid somebody in their appeal or advocacy to get access to this agent. It seems to be somewhat attainable in the US, and even less so as you go out, you know, further and further away. So I'm not happy with it, I really do want to see FDA approval, both for this and for anything that we do, because a lot of you know, a lot of health agencies in other countries just basically like just copy the FDA stuff, right. And then their health system, if it's approved, will give it, so it'll save everybody so much time and effort, that as much as we can put in to getting that up front will, will help you know, thousands of children with AGS. Think that's our gold standard, or that's mine.",,,,,"Org Support: Developing treatment guidelines,GENERAL: Insurance coverage,Outcome: FDA approval [planned]"
AGSAA.txt,,,,"What they did was a, they did some very careful and very slow PKPD studies in humans, probably since this was, well actually, at the time it was not FDA approved. It was compassionate use. It's very difficult, I've never, I've never thought about it through this, in this, you know, through this lens, like trying to put a roadmap, but I believe she repurposed the drug, went directly to humans, started at very low doses, they did PKPD studies, I think it took them like three years to get up to the sort of dosing that we're doing now. Because our kids take anywhere from like two to three times the dose that's approved for adults, right, like they take very high doses of this drug. So um, animal studies, I think were just bypassed entirely, and then they did a slow PKPD thing. But—",,,,,Step: Clinical Trial
AGSAA.txt,,,,"Okay, so maybe some animal testing, but currently, like, I think the question in the survey was the current status. So definitely, currently, it's not in animal testing. ",,,,,CHANGE
AGSAA.txt,,,,"Just like to underscore what Devon said about COVID. So Eli Lilly have their own purposes, right. So they, they actually repurpose Baricitinib for COVID.",,,,,Issues: pharmaceutical company support/cooperation
AGSAA.txt,,,,"I would say that, as an organization, we're probably at a very early stage with drug repurposing from us or from our own efforts, so AGS is a Leukodystrophy, in classic diseases its called Leukodystrophies. Primarily all of the other Leukodystrophies are some primary deficiency or dysfunction in a particular enzyme, right, so you need very bespoke therapy. AGS is actually an auto, auto inflammatory disease. And so drug repurposing is very relevant to us because there are a lot of drugs being developed for autoimmune diseases, right. So as it happens, a rheumatologist at NIH in, sorry, is she NIH? Yeah, she's NIH, the translational autoimmune, what's the .... disorders, something... She, she started a trial with children with interferonopathy, so a classic disease driven by dysfunction of interfereons, inflammatory cytokines. And it, it turned out one of the kids was diagnosed with AGS, I think after the trial had already started. So a lot of the, a lot of the wheels were already turning. However, the organization I think, was founded about 10 years ago, when there was a need to gather some funding for a neurologist that was at the NIH, who was moving to Philadelphia to, to basically like fork the trial and then create one specifically for AGS. So the organization was very involved in the beginning, but, but in primarily a funding way, I think. Devon, is there anything to add to that? 

Speaker 2  6:27  
Um, so Dr. Van Dover, was at Children's National in Washington, DC, and then she collaborated, she also worked like with the NIH, just to clarify on that point, but, um, but yes, so I think what happened, as you probably see pretty frequently is that a bunch of parents realize that, that, you know, that this is going to be a long and hard road to help their kids and so, started an organization but then didn't really know where to take it, because there was like, no background in nonprofit organization, or rare disease advocacy. And then, you know, two of our founding board members, their children passed away. And so it just kind of lost steam. And, but, so when I was filling out the survey, I don't remember what I wrote, because it was months ago. But when I was filling out the survey, I think I kind of took the point of view that that Baricitinib in and of itself, as Patrick mentioned, is already being repurposed, like for AGS. So it's like, but we as an organization, have not really been able to effectively advocate and be involved in the initial like, it kind of just took on a life of its own. But now we're at this juncture where it's really frustrating because we cannot, we want to be able to like really effectively support those efforts. But not being doctors, you know, and not being able to speak to the FDA directly about this specific drug or not being able to you know, it's like a, kind of our hands are tied a little bit so we're hoping participating in this project will help us to like understand, like, what a typical roadmap to develop, you know, developing a drug repurposing opportunity would be so that we can retroactively apply it to the drug we already have that's being repurposed on our behalf and, and then also like, how to look at these opportunities in the future for other drug repurposing. And I'm sorry, for I don't know what's going on, they're like cutting down trees across from me. So I hope the background noise is dimmed a little bit. But if it's too loud, I can move.",,,,,GENERAL: Interest in DR
AGSAA.txt,,,,"And long story short, we have an industry partner that's not repurposing but actually developing a drug from scratch and is going to enter the clinical phase like in the next year or two. So we sort of think we're going to piggyback on that a little bit to sort of build our capacity and understanding so that we can then, you know, try and repurpose multiple things and have sort of a pipeline and a reasonable way to hold the trial. ",,,,,GENERAL: Deciding between multiple drugs to repurpose
AGSAA.txt,,,,"Yeah, well, I guess if we, if we suffer publicly, as a very large group, that becomes more compelling. But I do, I can agree with you that it seems like there are aspects, and the FDA is a very large organization, but it seems like there's aspects of the FDA and NIH that want to support rare diseases. But for example, I'm not sure if you're a member of the Rare Diseases Clinical Research Network, the RDCRN. But they're, they're always talking about PROs, patient reported outcomes, you know, but then when you ask who has done this successfully, and successfully applied and, and used them in a clinical trial, they've never been used as a primary outcome, it's always been some sort of like secondary ignorable outcome, the people that are gonna be reviewing applications in the FDA are not the people in the rare disease program, often this is of the NIH that are supporting us. So there is a disconnect, we hear and I see people wanting to support rare diseases, but when it when it comes to like the end, you know, where you go up against the regulatory agency for real, I think that's where it just drops off.

Speaker 2  1:06:43  
Yeah, there's not an infrastructure to support that pathway. And like, and also, you know, a lot of the leukodystrophy organizations like, you know, I'm on a FDA kind of, group, whatever, that, that, like, it's a focus group that we've been working on trying to, like, support all leukodystrophy to, like, understand the pathway. And so many of them have literally paid like six figure contracts for consultants to talk to the FDA, and it's like, why is that happening, you know, and, you know, like, it's just, it's, the system itself, like, you know, it would be wonderful if, if this this roadmap project that you guys are doing would help to bring light to, you know, those challenges and barriers to being successful. Because I think it could be a lot more simple for everybody, like just the process. And, yeah, I think if the framework was different than it would be, you know, really meaningful to be able to, to, for the patient organizations to help lead that. That initative. ",,,,,"Org Support: Researcher network,Org Support: Collaboration with Academics,Org Support: Conversations with FDA"
AGSAA.txt,,,,"AGS is such a complicated complex idea that there, I mean, disease, that there are still so many unknowns, about the basic disease, like, you know, mechanisms and how it affects different, maybe how it affects, the heterogeneity, like how it affects different pathways in the body, how it affects different organ systems, like what precipitates some kids having effects in certain, you know, symptoms, and like, you know, there's just so much still, like basic research and understanding that I think, will also open a lot of doors, when some of those things like when we have kind of some more aha moments, in different things that AGS can be influenced by, because unlike other, you know, leukodystrophy is like, AGS  truly affects the whole body. So there's, that means that presents to us, and that's something we've talked to Dr. Vanderver at CHOP about, like that, there, there's not going to be just like one cure, like there's not going to be just like one transplant or one, you know, modification that needs to be made. But if we approach the disease from a few different angles, and have a multimodal kind of treatment approach, then that will obviously help ameliorate a lot of the symptoms and enhance quality of life. And, you know, will, you know, mitigate like the progression of disease, hopefully, in a much more impactful way. Because Baricitinib—",,,,,Issue: Many unknowns about disease remain
AGSAA.txt,,,,"etting involved at the basic research level. So we are providing two small grants to early career researchers. We're going to announce that at the end of this month. One of those is going to be some work into a novel pathway. It's novel to AGS but would probably involve repurposing drugs, not necessarily developing agents from scratch. So we have not done enough when it comes to repurposing auto immune agents. That's something that I would like us to explore. But I mentioned earlier that we know there's a number of industry groups that have communicated with you know, our primary center but not with us. And so I think I'm trying to work at that angle, it's to get in communication with these companies, because they already have the agents. I don't think like, reviewing literature is going to help us, I think that we just need to get in contact with more groups that are already interested. I think most of those are repurposing.",,,,,Org Support: Funding Research
AGSAA.txt,,,,"And then I was not able to talk to doctor our two main doctors at CHOP, um, Dr. Laura Adang and Dr. Adeline Vanderver about it any longer, because they had to sign an NDA with Lilly that said that they like could not talk about what had happened at the FDA, or something super annoying and like weird like that. And so, and then the pandemic happened, like, like, a few weeks later. So I think the date may have been like, February 12, that's standing out in my head, but like, you know, so and then Lilly pivoted, um, you know, to, to COVID related stuff. And, and then so basically, we've been in this extremely frustrating limbo. And, and then, you know, now insurance companies use it as an excuse for not providing it because it is, even though we have all of this data showing safety and efficacy. ",,,,,Issue: need to navigate confidentiality concerns
AGSAA.txt,,,,"I'm gonna go on a small tangent, we've gone on a couple, but I'm gonna say one of one of the strategies that I'm taking as well. Because when we got to this stage, and basically we're, you know, stonewalled, we can't get information, like we're not a part of this process. It's likem it affects our lives, but we can't do anything about it. I'm making a point with everybody that we are collaborating with, to make us equal partners. So that, that goes for best example is newborn screening. They're fairly far along and we're gonna help collect cards, but like, I'm, I'm, like, requiring, you, like, we need to be collaborators on this project, so that you can't tell us, you can't discuss it with us, you know, like, we need full information so that we're going to, we're going to take that approach with everybody that we work with.",,,,,Org Support: facilitating international collaboration/data sharing
AGSAA.txt,,,,"And, and, you know, like, Lilly was just really difficult to work with and, uh, you know, even now they can support us with having like the, you know, if you have rheumatoid arthritis, you can get this drug for like, a $20 copay, or something like with copay assistance support, and we are completely blocked from that, like we've called and, you know, like, I don't want to have to go on the local news to be like, Lilly sucks. But like, if it's going to save kids, then that's what we have to do, you know, and make sure that it's, you know, that they understand, like, you know, that these aren't just names on a list. These are families, you know, and children who are being dragged through this, like, you know, for what, you know, it's really frustrating. So, so we absolutely, you know, it's a problem.",,,,,Issues: pharmaceutical company support/cooperation
AGSAA.txt,,,,"And we're also trying to set up a patient listening session with the FDA for the fall so that they better understand what living with AGS is like and the patient and, you know, family Care burden and, and a lot of other factors that are really important to understand when you're thinking about presuming what the risk, um, risk to like benefit ratio is like for us as parents, like, you know, our children if, if this disease goes on unmitigated, then you know, they're, the consequences are dire. So we are willing, you know, to take on these risks, you know, that we, that we are trying to very clearly understand so that we can give our children opportunities that they wouldn't otherwise have. And so that, yeah, it's like, it's, it's, we, as Patrick said, you know, there's a lot of different steps. And we're trying to identify all of the steps, which is overwhelming, but it's also kind of interesting in a way and motivating and inspiring because, you know, these are problems that need to be solved. And if we don't solve them, like, you know, we can't wait, like, we're just going to be waiting and waiting and waiting and waiting for someone else to solve them. So, so we're trying to solve, and put all the pieces of the puzzle together, which is, which is, so it will be helpful to have, you know, other perspectives helping to guide us like in the right direction. So we're not just like doing all the wrong things all the time, as we're figuring it out.",,,,,"Org Support: Conversations with FDA,Org Support: Plead the case"
AGSAA.txt,,,,"But a couple of things that are relevant or that we know, are our primary specialists in Philadelphia, we know she gets approached by many drug companies like on the, I think she said, dozens, you know, that want samples and stuff, but she's, she's constrained by NDAs. So she can't, she can't like tell us who they are for us to approach them. So we think there's like this untapped resource there. ",,,,,Issue: need to navigate confidentiality concerns
